island,site,date_analyzed,trap,condition,coleoptera,diptera,hemiptera,hymenoptera,lepidoptera,orthoptera,blattodea,collembola,dermaptera,embioptera,isoptera,neuroptera,psocoptera,thysanura,coleoptera_larvae,diptera_larvae,lepidoptera_larvae,acari,araneae,chilopoda,isopoda,opilliones,pseudoscorpiones,gastropoda,gecko,lizard,comments,trap_type,sampleID
Naxos,EMONI,17-18 May 2014,1,GOOD,3,26,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-1
Naxos,EMONI,17-18 May 2015,2,GOOD,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-2
Naxos,EMONI,17-18 May 2016,3,GOOD,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,pitfall,P-EMONI-3
Naxos,EMONI,17-18 May 2017,4,GOOD,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-4
Naxos,EMONI,17-18 May 2018,5,GOOD,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-5
Naxos,EMONI,17-18 May 2019,6,GOOD,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,pitfall,P-EMONI-6
Naxos,EMONI,17-18 May 2020,7,GOOD,0,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-7
Naxos,EMONI,17-18 May 2021,8,GOOD,3,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-8
Naxos,EMONI,17-18 May 2022,9,GOOD,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-9
Naxos,EMONI,17-18 May 2023,10,GOOD,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-10
Naxos,EMONI,17-18 May 2024,11,GOOD,2,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-11
Naxos,EMONI,17-18 May 2025,12,GOOD,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-12
Naxos,VIGLA,19-May-14,1,GOOD,2,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-1
Naxos,VIGLA,19-May-14,2,GOOD,4,0,24,7,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,NA,pitfall,P-VIGLA-2
Naxos,VIGLA,19-May-14,3,GOOD,0,0,2,12,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,NA,pitfall,P-VIGLA-3
Naxos,VIGLA,19-May-14,4,GOOD,2,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-4
Naxos,VIGLA,19-May-14,5,GOOD,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-5
Naxos,VIGLA,19-May-14,6,GOOD,2,0,3,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-6
Naxos,VIGLA,19-May-14,7,GOOD,7,0,1,24,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,NA,pitfall,P-VIGLA-7
Naxos,VIGLA,19-May-14,8,GOOD,5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,pitfall,P-VIGLA-8
Naxos,VIGLA,19-May-14,9,GOOD,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-9
Naxos,VIGLA,19-May-14,10,GOOD,0,1,1,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-10
Naxos,VIGLA,19-May-14,11,GOOD,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-11
Naxos,VIGLA,19-May-14,12,GOOD,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-12
Naxos,DEMAR,19-May-14,1,GOOD,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-DEMAR-1
Naxos,DEMAR,19-May-14,2,GOOD,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-DEMAR-2
Naxos,DEMAR,19-May-14,3,GOOD,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-DEMAR-3
Naxos,DEMAR,19-May-14,4,GOOD,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,pitfall,P-DEMAR-4
Naxos,DEMAR,19-May-14,5,GOOD,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,pitfall,P-DEMAR-5
Naxos,DEMAR,19-May-14,6,GOOD,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,pitfall,P-DEMAR-6
Naxos,DEMAR,19-May-14,7,GOOD,3,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,pitfall,P-DEMAR-7
Naxos,DEMAR,19-May-14,8,GOOD,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-DEMAR-8
Naxos,DEMAR,19-May-14,9,GOOD,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-DEMAR-9
Naxos,DEMAR,19-May-14,10,GOOD,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,NA,pitfall,P-DEMAR-10
Naxos,DEMAR,19-May-14,11,GOOD,1,0,1,23,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,NA,pitfall,P-DEMAR-11
Naxos,DEMAR,19-May-14,12,GOOD,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-DEMAR-12
Naxos,RACHI,21-May-14,1,GOOD,13,0,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-1
Naxos,RACHI,21-May-14,2,GOOD,1,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-2
Naxos,RACHI,21-May-14,3,GOOD,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-3
Naxos,RACHI,21-May-14,4,GOOD,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-4
Naxos,RACHI,21-May-14,5,GOOD,0,1,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-5
Naxos,RACHI,21-May-14,6,GOOD,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-6
Naxos,RACHI,21-May-14,7,GOOD,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-7
Naxos,RACHI,21-May-14,8,GOOD,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-8
Naxos,RACHI,21-May-14,9,GOOD,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-9
Naxos,RACHI,21-May-14,10,GOOD,3,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-10
Naxos,RACHI,21-May-14,11,GOOD,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NA,pitfall,P-RACHI-11
Naxos,RACHI,21-May-14,12,FLAW,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trap missing antifreeze,pitfall,P-RACHI-12
Naxos,SAGRI,22-May-14,1,GOOD,2,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,NA,pitfall,P-SAGRI-1
Naxos,SAGRI,22-May-14,2,GOOD,2,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,NA,pitfall,P-SAGRI-2
Naxos,SAGRI,22-May-14,3,GOOD,3,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,NA,pitfall,P-SAGRI-3
Naxos,SAGRI,22-May-14,4,GOOD,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,NA,pitfall,P-SAGRI-4
Naxos,SAGRI,22-May-14,5,GOOD,4,0,0,23,0,0,0,0,0,0,0,0,0,5,1,0,0,6,2,0,2,0,0,0,0,0,NA,pitfall,P-SAGRI-5
Naxos,SAGRI,22-May-14,6,GOOD,2,1,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,NA,pitfall,P-SAGRI-6
Naxos,SAGRI,22-May-14,7,GOOD,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,NA,pitfall,P-SAGRI-7
Naxos,SAGRI,22-May-14,8,GOOD,3,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,NA,pitfall,P-SAGRI-8
Naxos,SAGRI,22-May-14,9,GOOD,5,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,NA,pitfall,P-SAGRI-9
Naxos,SAGRI,22-May-14,10,GOOD,4,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,NA,pitfall,P-SAGRI-10
Naxos,SAGRI,22-May-14,11,GOOD,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,pitfall,P-SAGRI-11
Naxos,SAGRI,22-May-14,12,GOOD,2,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-SAGRI-12
Naxos,SMONI,23-May-14,1,GOOD,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,NA,pitfall,P-SMONI-1
Naxos,SMONI,23-May-14,2,GOOD,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,NA,pitfall,P-SMONI-2
Naxos,SMONI,23-May-14,3,GOOD,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,NA,pitfall,P-SMONI-3
Naxos,SMONI,23-May-14,4,GOOD,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,pitfall,P-SMONI-4
Naxos,SMONI,23-May-14,5,GOOD,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,NA,pitfall,P-SMONI-5
Naxos,SMONI,23-May-14,6,GOOD,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,podarcis escaped,pitfall,P-SMONI-6
Naxos,SMONI,23-May-14,7,GOOD,5,7,2,3,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,NA,pitfall,P-SMONI-7
Naxos,SMONI,23-May-14,8,GOOD,1,6,3,5,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,NA,pitfall,P-SMONI-8
Naxos,SMONI,23-May-14,9,GOOD,1,2,4,15,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,NA,pitfall,P-SMONI-9
Naxos,SMONI,23-May-14,10,GOOD,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,NA,pitfall,P-SMONI-10
Naxos,SMONI,23-May-14,11,GOOD,6,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,NA,pitfall,P-SMONI-11
Naxos,SMONI,23-May-14,12,GOOD,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,pitfall,P-SMONI-12
Naxos,WMONI,24-May-14,1,GOOD,12,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,NA,pitfall,P-WMONI-1
Naxos,WMONI,24-May-14,2,GOOD,8,9,2,16,0,0,0,29,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,0,0,NA,pitfall,P-WMONI-2
Naxos,WMONI,24-May-14,3,GOOD,2,4,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-WMONI-3
Naxos,WMONI,24-May-14,4,GOOD,3,1,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-WMONI-4
Naxos,WMONI,24-May-14,5,GOOD,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,pitfall,P-WMONI-5
Naxos,WMONI,24-May-14,6,GOOD,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,pitfall,P-WMONI-6
Naxos,WMONI,24-May-14,7,GOOD,5,0,0,20,0,0,0,14,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,NA,pitfall,P-WMONI-7
Naxos,WMONI,24-May-14,8,GOOD,3,1,1,3,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,NA,pitfall,P-WMONI-8
Naxos,WMONI,24-May-14,9,GOOD,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-WMONI-9
Naxos,WMONI,24-May-14,10,GOOD,2,4,0,26,0,0,0,16,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,0,NA,pitfall,P-WMONI-10
Naxos,WMONI,24-May-14,11,GOOD,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,pitfall,P-WMONI-11
Naxos,WMONI,24-May-14,12,GOOD,2,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,pitfall,P-WMONI-12
Naxos,NALYKO,02-Jun-14,1,GOOD,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,pitfall,P-NALYKO-1
Naxos,NALYKO,02-Jun-14,2,GOOD,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-2
Naxos,NALYKO,02-Jun-14,3,GOOD,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-3
Naxos,NALYKO,02-Jun-14,4,GOOD,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-4
Naxos,NALYKO,02-Jun-14,5,GOOD,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-5
Naxos,NALYKO,02-Jun-14,6,GOOD,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-6
Naxos,NALYKO,02-Jun-14,7,GOOD,9,0,1,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-7
Naxos,NALYKO,02-Jun-14,8,GOOD,4,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-8
Naxos,NALYKO,02-Jun-14,9,GOOD,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-9
Naxos,NALYKO,02-Jun-14,10,GOOD,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-10
Naxos,NALYKO,02-Jun-14,11,GOOD,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-11
Naxos,NALYKO,02-Jun-14,12,GOOD,22,0,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-NALYKO-12
Naxos,MALYKO,05-Jun-14,1,GOOD,15,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-MALYKO-1
Naxos,MALYKO,05-Jun-14,2,GOOD,9,0,0,11,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-MALYKO-2
Naxos,MALYKO,05-Jun-14,3,GOOD,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-MALYKO-3
Naxos,MALYKO,05-Jun-14,4,GOOD,29,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,pitfall,P-MALYKO-4
Naxos,MALYKO,05-Jun-14,5,GOOD,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,pitfall,P-MALYKO-5
Naxos,MALYKO,05-Jun-14,6,GOOD,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-MALYKO-6
Naxos,MALYKO,05-Jun-14,7,GOOD,14,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-MALYKO-7
Naxos,MALYKO,05-Jun-14,8,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trap missing,pitfall,P-MALYKO-8
Naxos,MALYKO,05-Jun-14,9,GOOD,14,1,29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,NA,pitfall,P-MALYKO-9
Naxos,MALYKO,05-Jun-14,10,GOOD,19,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-MALYKO-10
Naxos,MALYKO,05-Jun-14,11,GOOD,12,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-MALYKO-11
Naxos,MALYKO,05-Jun-14,12,GOOD,11,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-MALYKO-12
