island,site,date_analyzed,trap,condition,coleoptera,diptera,hemiptera,hymenoptera,lepidoptera,orthoptera,collembola,embioptera,raphidioptera,homoptera,psocoptera,neuroptera,diptera_larvae,coleoptera_larvae,lepidoptera_larvae,acari,araneae,gastropoda,gecko,comments,trap_type,sampleID
Naxos,EMONI,18-May-14,1,GOOD,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,sticky,S-EMONI-1
Naxos,EMONI,18-May-14,2,GOOD,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-2
Naxos,EMONI,18-May-14,3,GOOD,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-3
Naxos,EMONI,18-May-14,4,GOOD,0,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-4
Naxos,EMONI,18-May-14,5,GOOD,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-5
Naxos,EMONI,18-May-14,6,GOOD,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-6
Naxos,EMONI,18-May-14,7,GOOD,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-7
Naxos,EMONI,18-May-14,8,GOOD,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-8
Naxos,EMONI,18-May-14,9,GOOD,1,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-9
Naxos,EMONI,18-May-14,10,GOOD,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-10
Naxos,EMONI,18-May-14,11,GOOD,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-11
Naxos,EMONI,18-May-14,12,GOOD,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-12
Naxos,VIGLA,19-May-14,1,GOOD,0,15,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-1
Naxos,VIGLA,19-May-14,2,GOOD,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-2
Naxos,VIGLA,19-May-14,3,GOOD,2,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-3
Naxos,VIGLA,19-May-14,4,GOOD,0,13,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-4
Naxos,VIGLA,19-May-14,5,GOOD,4,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-5
Naxos,VIGLA,19-May-14,6,GOOD,1,8,2,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-6
Naxos,VIGLA,19-May-14,7,GOOD,1,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-7
Naxos,VIGLA,19-May-14,8,GOOD,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-8
Naxos,VIGLA,19-May-14,9,GOOD,0,20,2,2,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-VIGLA-9
Naxos,VIGLA,19-May-14,10,GOOD,2,22,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-10
Naxos,VIGLA,19-May-14,11,GOOD,0,10,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-VIGLA-11
Naxos,VIGLA,19-May-14,12,GOOD,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-VIGLA-12
Naxos,DEMAR,19-May-14,1,GOOD,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-1
Naxos,DEMAR,19-May-14,2,GOOD,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-2
Naxos,DEMAR,19-May-14,3,GOOD,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-3
Naxos,DEMAR,19-May-14,4,GOOD,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-DEMAR-4
Naxos,DEMAR,19-May-14,5,GOOD,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-5
Naxos,DEMAR,19-May-14,6,GOOD,0,8,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-6
Naxos,DEMAR,19-May-14,7,GOOD,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-7
Naxos,DEMAR,19-May-14,8,GOOD,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-DEMAR-8
Naxos,DEMAR,19-May-14,9,GOOD,0,49,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-9
Naxos,DEMAR,19-May-14,10,GOOD,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-10
Naxos,DEMAR,19-May-14,11,GOOD,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-11
Naxos,DEMAR,19-May-14,12,GOOD,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-12
Naxos,RACHI,21-May-14,1,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trap blown away,sticky,S-RACHI-1
Naxos,RACHI,21-May-14,2,GOOD,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-RACHI-2
Naxos,RACHI,21-May-14,3,GOOD,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-RACHI-3
Naxos,RACHI,21-May-14,4,GOOD,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-RACHI-4
Naxos,RACHI,21-May-14,5,GOOD,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-RACHI-5
Naxos,RACHI,21-May-14,6,GOOD,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-RACHI-6
Naxos,RACHI,21-May-14,7,GOOD,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-RACHI-7
Naxos,RACHI,21-May-14,8,GOOD,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-RACHI-8
Naxos,RACHI,21-May-14,9,GOOD,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-RACHI-9
Naxos,RACHI,21-May-14,10,GOOD,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-RACHI-10
Naxos,RACHI,21-May-14,11,GOOD,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-RACHI-11
Naxos,RACHI,21-May-14,12,GOOD,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-RACHI-12
Naxos,SAGRI,22-May-14,1,GOOD,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-1
Naxos,SAGRI,22-May-14,2,GOOD,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-2
Naxos,SAGRI,22-May-14,3,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-SAGRI-3
Naxos,SAGRI,22-May-14,4,GOOD,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-4
Naxos,SAGRI,22-May-14,5,GOOD,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-5
Naxos,SAGRI,22-May-14,6,GOOD,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-6
Naxos,SAGRI,22-May-14,7,GOOD,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-7
Naxos,SAGRI,22-May-14,8,GOOD,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-8
Naxos,SAGRI,22-May-14,9,GOOD,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-9
Naxos,SAGRI,22-May-14,10,GOOD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-10
Naxos,SAGRI,22-May-14,11,GOOD,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-11
Naxos,SAGRI,22-May-14,12,GOOD,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SAGRI-12
Naxos,SMONI,23-May-14,1,GOOD,0,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-1
Naxos,SMONI,23-May-14,2,GOOD,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-2
Naxos,SMONI,23-May-14,3,GOOD,4,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-3
Naxos,SMONI,23-May-14,4,GOOD,0,42,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-4
Naxos,SMONI,23-May-14,5,GOOD,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-SMONI-5
Naxos,SMONI,23-May-14,6,GOOD,0,34,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-6
Naxos,SMONI,23-May-14,7,GOOD,1,39,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-7
Naxos,SMONI,23-May-14,8,GOOD,0,14,3,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-8
Naxos,SMONI,23-May-14,9,GOOD,0,33,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-9
Naxos,SMONI,23-May-14,10,GOOD,1,70,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-10
Naxos,SMONI,23-May-14,11,GOOD,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-11
Naxos,SMONI,23-May-14,12,GOOD,0,25,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-SMONI-12
Naxos,WMONI,24-May-14,1,GOOD,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-WMONI-1
Naxos,WMONI,24-May-14,2,GOOD,2,26,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-WMONI-2
Naxos,WMONI,24-May-14,3,GOOD,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-WMONI-3
Naxos,WMONI,24-May-14,4,GOOD,3,23,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-WMONI-4
Naxos,WMONI,24-May-14,5,GOOD,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-WMONI-5
Naxos,WMONI,24-May-14,6,GOOD,1,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-WMONI-6
Naxos,WMONI,24-May-14,7,GOOD,2,18,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,NA,sticky,S-WMONI-7
Naxos,WMONI,24-May-14,8,GOOD,4,47,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,sticky,S-WMONI-8
Naxos,WMONI,24-May-14,9,GOOD,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,sticky,S-WMONI-9
Naxos,WMONI,24-May-14,10,GOOD,1,34,0,4,0,0,1,1,0,0,0,0,0,0,0,6,1,0,0,NA,sticky,S-WMONI-10
Naxos,WMONI,24-May-14,11,GOOD,4,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-WMONI-11
Naxos,WMONI,24-May-14,12,GOOD,0,28,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-WMONI-12
Naxos,NALYKO,02-Jun-14,1,GOOD,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-NALYKO-1
Naxos,NALYKO,02-Jun-14,2,GOOD,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-2
Naxos,NALYKO,02-Jun-14,3,GOOD,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-3
Naxos,NALYKO,02-Jun-14,4,GOOD,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-4
Naxos,NALYKO,02-Jun-14,5,GOOD,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-5
Naxos,NALYKO,02-Jun-14,6,GOOD,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-6
Naxos,NALYKO,02-Jun-14,7,GOOD,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-7
Naxos,NALYKO,02-Jun-14,8,GOOD,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-8
Naxos,NALYKO,02-Jun-14,9,GOOD,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-9
Naxos,NALYKO,02-Jun-14,10,GOOD,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-10
Naxos,NALYKO,02-Jun-14,11,GOOD,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-11
Naxos,NALYKO,02-Jun-14,12,GOOD,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-NALYKO-12
Naxos,MALYKO,07-Jun-14,1,GOOD,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-MALYKO-1
Naxos,MALYKO,07-Jun-14,2,GOOD,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-MALYKO-2
Naxos,MALYKO,07-Jun-14,3,GOOD,1,18,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,sticky,S-MALYKO-3
Naxos,MALYKO,07-Jun-14,4,GOOD,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-MALYKO-4
Naxos,MALYKO,07-Jun-14,5,GOOD,2,84,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-MALYKO-5
Naxos,MALYKO,07-Jun-14,6,GOOD,0,35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,sticky,S-MALYKO-6
Naxos,MALYKO,07-Jun-14,7,GOOD,0,18,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-MALYKO-7
Naxos,MALYKO,07-Jun-14,8,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trap missing,sticky,S-MALYKO-8
Naxos,MALYKO,07-Jun-14,9,GOOD,1,41,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-MALYKO-9
Naxos,MALYKO,07-Jun-14,10,GOOD,2,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-MALYKO-10
Naxos,MALYKO,07-Jun-14,11,GOOD,1,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-MALYKO-11
Naxos,MALYKO,07-Jun-14,12,GOOD,1,21,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,NA,sticky,S-MALYKO-12
